"Name","alpha","func","Data loss lowest (validation)"
"silver-sweep-90","0.5","tanhshrink","0.0004862561472691595"
"stellar-sweep-89","0.5","tanhshrink","0.002328561618924141"
"light-sweep-88","0.5","tanhshrink","0.0010682339780032637"
"sleek-sweep-87","0.5","tanhshrink","0.001373593113385141"
"floral-sweep-86","0.5","tanhshrink","0.00012524572957772762"
"fresh-sweep-85","0.5","softsign","0.0015219072811305523"
"woven-sweep-84","0.5","softsign","0.0036181523464620113"
"gallant-sweep-83","0.5","softsign","0.004237850196659565"
"leafy-sweep-82","0.5","softsign","0.005602478515356779"
"resilient-sweep-81","0.5","softsign","0.0012624494265764952"
"vivid-sweep-80","0.5","gelu","0.0000631601651548408"
"rural-sweep-79","0.5","gelu","0.00011445228301454335"
"logical-sweep-78","0.5","gelu","0.00020379199122544375"
"volcanic-sweep-77","0.5","gelu","0.00009708269499242306"
"eager-sweep-76","0.5","gelu","0.000031086481612874195"
"happy-sweep-75","0.5","celu","0.0009821817511692643"
"eager-sweep-74","0.5","celu","0.0017995142843574286"
"faithful-sweep-73","0.5","celu","0.0030414785724133253"
"super-sweep-72","0.5","celu","0.0018201242201030257"
"dainty-sweep-71","0.5","celu","0.00032335438299924135"
"dandy-sweep-70","0.5","logsigmoid","0.0008723750943318009"
"misunderstood-sweep-69","0.5","logsigmoid","0.001034115324728191"
"icy-sweep-68","0.5","logsigmoid","0.0024537332355976105"
"glorious-sweep-67","0.5","logsigmoid","0.0004089130088686943"
"jumping-sweep-66","0.5","logsigmoid","0.00030824917485006154"
"fancy-sweep-65","0.5","sigmoid","0.00019007979426532984"
"azure-sweep-64","0.5","sigmoid","0.00005589993816101923"
"dutiful-sweep-63","0.5","sigmoid","0.0009066875791177154"
"smooth-sweep-62","0.5","sigmoid","0.0002891237672884017"
"true-sweep-61","0.5","sigmoid","0.00022014524438418448"
"robust-sweep-60","0.5","relu","0.03032076545059681"
"royal-sweep-59","0.5","relu","0.044912468641996384"
"smart-sweep-58","0.5","relu","0.03829167038202286"
"apricot-sweep-57","0.5","relu","0.03545384854078293"
"solar-sweep-56","0.5","relu","0.06836123019456863"
"sweepy-sweep-55","0.5","softplus","0.0005538598052226007"
"dulcet-sweep-54","0.5","softplus","0.00033141596941277385"
"graceful-sweep-53","0.5","softplus","0.0005516503006219864"
"worldly-sweep-52","0.5","softplus","0.0016194838099181652"
"bumbling-sweep-51","0.5","softplus","0.00028002128237858415"
"fine-sweep-50","0.5","tanh","0.0001565851125633344"
"frosty-sweep-49","0.5","tanh","0.0002569242496974766"
"feasible-sweep-48","0.5","tanh","0.0005720918416045606"
"noble-sweep-47","0.5","tanh","0.00041135025094263256"
"zesty-sweep-46","0.5","tanh","0.0001342311006737873"
"driven-sweep-45","0","tanhshrink","0.0009241823572665452"
"absurd-sweep-44","0","tanhshrink","0.020769741386175156"
"crisp-sweep-43","0","tanhshrink","0.007536474149674177"
"desert-sweep-42","0","tanhshrink","0.005025094375014305"
"vocal-sweep-41","0","tanhshrink","0.0006636581965722144"
"devoted-sweep-40","0","softsign","0.007417859509587288"
"smooth-sweep-39","0","softsign","0.012346586212515833"
"wandering-sweep-38","0","softsign","0.008207517676055431"
"worthy-sweep-37","0","softsign","0.016047941520810127"
"pretty-sweep-36","0","softsign","0.0026925180573016405"
"tough-sweep-35","0","gelu","0.0016620623646304011"
"logical-sweep-34","0","gelu","0.0038944361731410022"
"kind-sweep-33","0","gelu","0.0032494673505425453"
"lemon-sweep-32","0","gelu","0.0016844631172716618"
"sandy-sweep-31","0","gelu","0.0010477799223735929"
"warm-sweep-30","0","celu","0.004831056110560894"
"valiant-sweep-29","0","celu","0.006797174457460642"
"smart-sweep-28","0","celu","0.007573581766337156"
"lucky-sweep-27","0","celu","0.012675910256803036"
"wild-sweep-26","0","celu","0.0021393797360360622"
"sweet-sweep-25","0","logsigmoid","0.0022918295580893755"
"lilac-sweep-24","0","logsigmoid","0.004022496752440929"
"giddy-sweep-23","0","logsigmoid","0.0034395051188766956"
"rural-sweep-22","0","logsigmoid","0.006105098407715559"
"honest-sweep-21","0","logsigmoid","0.0005896976217627525"
"dazzling-sweep-20","0","sigmoid","0.002057271543890238"
"earthy-sweep-19","0","sigmoid","0.004833809565752745"
"peachy-sweep-18","0","sigmoid","0.005357653368264437"
"elated-sweep-17","0","sigmoid","0.008835316635668278"
"unique-sweep-16","0","sigmoid","0.0055432734079658985"
"wobbly-sweep-15","0","relu","0.017010681331157684"
"clear-sweep-14","0","relu","0.030713552609086037"
"golden-sweep-13","0","relu","0.020301830023527145"
"azure-sweep-12","0","relu","0.037625037133693695"
"giddy-sweep-11","0","relu","0.006014510989189148"
"lilac-sweep-10","0","softplus","0.003563404781743884"
"mild-sweep-9","0","softplus","0.005010128021240234"
"fragrant-sweep-8","0","softplus","0.004444499965757132"
"wandering-sweep-7","0","softplus","0.009563026018440723"
"major-sweep-6","0","softplus","0.0004710434004664421"
"glad-sweep-5","0","tanh","0.004993919748812914"
"young-sweep-4","0","tanh","0.0063535901717841625"
"dutiful-sweep-3","0","tanh","0.004438389092683792"
"worldly-sweep-2","0","tanh","0.007654073182493448"
"sandy-sweep-1","0","tanh","0.0021301587112247944"