"Name","seed","alpha","Data loss lowest (validation)"
"peach-sweep-50","24","0.5","0.00019451168191153556"
"faithful-sweep-49","23","0.5","0.0001181834377348423"
"hearty-sweep-48","22","0.5","0.00028783382731489837"
"decent-sweep-47","21","0.5","0.00016316870460286736"
"fearless-sweep-46","20","0.5","0.0002585228066891432"
"usual-sweep-45","19","0.5","0.00026194864767603576"
"iconic-sweep-44","18","0.5","0.00007425065996358171"
"solar-sweep-43","17","0.5","0.0003239014477003366"
"fast-sweep-42","16","0.5","0.0002390524750808254"
"comfy-sweep-41","15","0.5","0.0001616950612515211"
"frosty-sweep-40","14","0.5","0.00016747969493735582"
"clear-sweep-39","13","0.5","0.00011124285083496944"
"warm-sweep-38","12","0.5","0.00015115887799765915"
"proud-sweep-37","11","0.5","0.0001841876801336184"
"dainty-sweep-36","10","0.5","0.000167354111908935"
"soft-sweep-35","9","0.5","0.0011760739143937826"
"genial-sweep-34","8","0.5","0.0004924662644043565"
"copper-sweep-33","7","0.5","0.00019439072639215735"
"ruby-sweep-32","6","0.5","0.00033263207296840847"
"firm-sweep-31","5","0.5","0.00009959073940990491"
"giddy-sweep-30","4","0.5","0.00015584653010591865"
"fanciful-sweep-29","3","0.5","0.0005129738710820675"
"rose-sweep-28","2","0.5","0.0008776745526120067"
"ancient-sweep-27","1","0.5","0.0004682050202973187"
"polished-sweep-26","0","0.5","0.00017403737001586703"
"giddy-sweep-25","24","0","0.005235752090811729"
"colorful-sweep-24","23","0","0.004213860724121332"
"eager-sweep-23","22","0","0.003274260787293315"
"glorious-sweep-22","21","0","0.0018863030709326267"
"denim-sweep-21","20","0","0.002455784473568201"
"decent-sweep-20","19","0","0.0037557182367891073"
"deep-sweep-19","18","0","0.0021068600472062826"
"faithful-sweep-18","17","0","0.001998551189899445"
"easy-sweep-17","16","0","0.0015842022839933634"
"happy-sweep-16","15","0","0.0011877218494191766"
"charmed-sweep-15","14","0","0.0022984854876995087"
"unique-sweep-14","13","0","0.002627979964017868"
"prime-sweep-13","12","0","0.00433290284126997"
"magic-sweep-12","11","0","0.0021276262123137712"
"skilled-sweep-11","10","0","0.003518660319969058"
"resilient-sweep-10","9","0","0.01245617214590311"
"skilled-sweep-9","8","0","0.00878348108381033"
"treasured-sweep-8","7","0","0.0024029032792896032"
"valiant-sweep-7","6","0","0.005438999738544226"
"divine-sweep-6","5","0","0.002459675306454301"
"dandy-sweep-5","4","0","0.0050191194750368595"
"fancy-sweep-4","3","0","0.00636276975274086"
"sparkling-sweep-3","2","0","0.004434216767549515"
"drawn-sweep-2","1","0","0.007649417966604233"
"pretty-sweep-1","0","0","0.0021380288526415825"