"Name","func","alpha","Data loss lowest (validation)"
"wandering-sweep-90","tanhshrink","0.1","1.049975872039795"
"confused-sweep-89","tanhshrink","0.1","0.005858913064002991"
"spring-sweep-88","tanhshrink","0.1","0.07846240699291229"
"splendid-sweep-87","tanhshrink","0.1","0.00685795908793807"
"copper-sweep-86","tanhshrink","0.1","0.3835621476173401"
"graceful-sweep-85","softsign","0.1","0.01955084130167961"
"lilac-sweep-84","softsign","0.1","0.0026316780131310225"
"avid-sweep-83","softsign","0.1","0.025171084329485893"
"desert-sweep-82","softsign","0.1","0.020482156425714493"
"fearless-sweep-81","softsign","0.1","0.03548022359609604"
"neat-sweep-80","gelu","0.1","0.0000030843325475871097"
"stellar-sweep-79","gelu","0.1","0.0000013595787322628894"
"effortless-sweep-78","gelu","0.1","0.000009543717169435697"
"clear-sweep-77","gelu","0.1","6.838377544227114e-7"
"scarlet-sweep-76","gelu","0.1","0.0000011325709010634457"
"drawn-sweep-75","celu","0.1","0.010412290692329408"
"feasible-sweep-74","celu","0.1","0.0001490139839006588"
"feasible-sweep-73","celu","0.1","0.0005256547010503709"
"wild-sweep-72","celu","0.1","0.000876968028023839"
"divine-sweep-71","celu","0.1","0.009196382947266102"
"valiant-sweep-70","logsigmoid","0.1","0.00022981925576459616"
"eager-sweep-69","logsigmoid","0.1","0.00000918535533855902"
"deft-sweep-68","logsigmoid","0.1","0.00003968535020248965"
"jolly-sweep-67","logsigmoid","0.1","0.00005976844477117993"
"dutiful-sweep-66","logsigmoid","0.1","0.00004957945930073038"
"eternal-sweep-65","sigmoid","0.1","0.00027748255524784327"
"playful-sweep-64","sigmoid","0.1","0.00004821851689484902"
"proud-sweep-63","sigmoid","0.1","0.00003648484562290832"
"warm-sweep-62","sigmoid","0.1","0.0001766514324117452"
"chocolate-sweep-61","sigmoid","0.1","0.000027467922336654738"
"logical-sweep-60","relu","0.1","0.09086759388446808"
"eternal-sweep-59","relu","0.1","0.0858936756849289"
"kind-sweep-58","relu","0.1","0.09004134684801102"
"fresh-sweep-57","relu","0.1","0.08774203807115555"
"helpful-sweep-56","relu","0.1","0.09425106644630432"
"fine-sweep-55","softplus","0.1","0.00002337129808438476"
"snowy-sweep-54","softplus","0.1","0.000007589190317958128"
"vibrant-sweep-53","softplus","0.1","0.00003243516766815446"
"rural-sweep-52","softplus","0.1","0.00003659013964352198"
"hopeful-sweep-51","softplus","0.1","0.00004687393447966315"
"quiet-sweep-50","tanh","0.1","0.00000148858202919655"
"desert-sweep-49","tanh","0.1","0.0000023307140963879647"
"swift-sweep-48","tanh","0.1","0.000002607616124805645"
"fast-sweep-47","tanh","0.1","0.00000453588972959551"
"golden-sweep-46","tanh","0.1","0.0000032153654956346145"
"balmy-sweep-45","tanhshrink","0","0.018461566418409348"
"glad-sweep-44","tanhshrink","0","0.37866154313087463"
"bumbling-sweep-43","tanhshrink","0","0.006819190923124552"
"proud-sweep-42","tanhshrink","0","0.003578083822503686"
"happy-sweep-41","tanhshrink","0","0.024386297911405563"
"atomic-sweep-40","softsign","0","0.004266020376235247"
"soft-sweep-39","softsign","0","0.00047956997877918184"
"rosy-sweep-38","softsign","0","0.003205964807420969"
"iconic-sweep-37","softsign","0","0.0031141801737248898"
"colorful-sweep-36","softsign","0","0.0015591859119012952"
"frosty-sweep-35","gelu","0","0.00765315443277359"
"dutiful-sweep-34","gelu","0","0.0018898010021075609"
"mild-sweep-33","gelu","0","0.00340239517390728"
"dauntless-sweep-32","gelu","0","0.001118728774599731"
"chocolate-sweep-31","gelu","0","0.004164437763392925"
"generous-sweep-30","celu","0","0.0037367285694926977"
"woven-sweep-29","celu","0","0.00031269050668925047"
"celestial-sweep-28","celu","0","0.001682931906543672"
"silvery-sweep-27","celu","0","0.0011907381704077125"
"vocal-sweep-26","celu","0","0.003325090743601322"
"pretty-sweep-25","logsigmoid","0","0.0031111203134059906"
"lemon-sweep-24","logsigmoid","0","0.0008741826168261468"
"resilient-sweep-23","logsigmoid","0","0.0021535647101700306"
"pretty-sweep-22","logsigmoid","0","0.0010423010680824518"
"rosy-sweep-21","logsigmoid","0","0.002131361747160554"
"different-sweep-20","sigmoid","0","0.0024442519061267376"
"exalted-sweep-19","sigmoid","0","0.0023552621714770794"
"glad-sweep-18","sigmoid","0","0.002342107007279992"
"wobbly-sweep-17","sigmoid","0","0.0028688828460872173"
"glowing-sweep-16","sigmoid","0","0.0010077683255076408"
"confused-sweep-15","relu","0","0.002401563571766019"
"quiet-sweep-14","relu","0","0.0007826919900253415"
"rural-sweep-13","relu","0","0.004004536662250757"
"vague-sweep-12","relu","0","0.004406027030199766"
"warm-sweep-11","relu","0","0.01035880297422409"
"still-sweep-10","softplus","0","0.004899763036519289"
"vague-sweep-9","softplus","0","0.004073658492416143"
"dutiful-sweep-8","softplus","0","0.002008810406550765"
"neat-sweep-7","softplus","0","0.0012086795177310703"
"likely-sweep-6","softplus","0","0.0004920156206935644"
"treasured-sweep-5","tanh","0","0.006840073503553867"
"wandering-sweep-4","tanh","0","0.0008419356308877468"
"sleek-sweep-3","tanh","0","0.002389364643022418"
"cerulean-sweep-2","tanh","0","0.002809006487950682"
"solar-sweep-1","tanh","0","0.0015250706346705556"